Sexo,Altura,Peso
M,1.71,86.95
M,1.67,75.22
M,1.81,84.21
M,1.73,80.86
M,1.62,68.48
M,1.8,95.22
M,1.73,78.99
M,1.73,81.59
M,1.72,76.09
M,1.73,83.02
M,1.74,76.91
M,1.68,78.66
M,1.68,82.05
M,1.71,83.23
M,1.76,93.43
M,1.79,83.35
M,1.81,91.6
M,1.8,98.03
M,1.68,72.29
M,1.84,95.4
M,1.71,81.02
M,1.65,66.56
M,1.79,88.87
M,1.77,77.19
M,1.64,76.95
M,1.76,89.98
M,1.74,81.6
M,1.57,66.79
M,1.74,80.28
M,1.65,84.12
M,1.63,80.51
M,1.74,77.03
M,1.84,90.07
M,1.7,92.23
M,1.7,87.64
M,1.65,80.8
M,1.68,73.83
M,1.71,72.25
M,1.66,78.07
M,1.77,91.55
M,1.73,77.27
M,1.83,93.16
M,1.73,77.01
M,1.82,90.91
M,1.67,81.0
M,1.69,76.21
M,1.71,80.63
M,1.73,87.67
M,1.64,73.65
M,1.71,83.18
M,1.73,82.12
M,1.76,95.65
M,1.68,75.1
M,1.69,88.97
M,1.82,91.64
M,1.73,77.29
M,1.77,91.6
M,1.82,87.72
M,1.67,81.58
M,1.7,70.98
M,1.94,106.61
M,1.84,104.58
M,1.77,92.48
M,1.84,98.98
M,1.84,101.0
M,1.83,94.56
M,1.7,82.0
M,1.92,105.2
M,1.68,77.38
M,1.8,85.39
M,1.8,88.93
M,1.83,97.34
M,1.9,101.66
M,1.63,71.93
M,1.64,75.52
M,1.61,72.63
M,1.72,79.91
M,1.67,79.14
M,1.8,87.95
M,1.71,84.81
M,1.74,78.74
M,1.78,87.7
M,1.83,94.54
M,1.79,93.45
M,1.67,78.28
M,1.89,105.52
M,1.71,80.39
M,1.7,79.67
M,1.82,96.44
M,1.64,75.73
M,1.73,89.09
M,1.69,75.03
M,1.69,80.09
M,1.72,79.22
M,1.75,88.55
M,1.78,93.29
M,1.64,71.82
M,1.72,76.69
M,1.61,61.53
M,1.82,98.95
M,1.69,70.71
M,1.82,91.41
M,1.93,107.01
M,1.81,88.63
M,1.71,80.12
M,1.79,90.02
M,1.77,84.24
M,1.72,80.44
M,1.88,97.86
M,1.75,84.83
M,1.69,77.83
M,1.69,78.4
M,1.7,76.33
M,1.75,74.3
M,1.79,86.19
M,1.66,71.15
M,1.65,78.29
M,1.71,76.68
M,1.87,104.95
M,1.81,94.0
M,1.72,78.08
M,1.73,90.64
M,1.67,76.24
M,1.81,89.73
M,1.75,89.31
M,1.74,81.74
M,1.8,85.79
M,1.61,71.86
M,1.8,94.76
M,1.67,84.88
M,1.65,71.47
M,1.72,82.39
M,1.8,92.87
M,1.88,104.84
M,1.76,84.48
M,1.64,82.14
M,1.73,90.23
M,1.8,92.24
M,1.56,73.04
M,1.73,86.09
M,1.83,90.81
M,1.84,100.63
M,1.8,97.09
M,1.83,91.49
M,1.71,84.9
M,1.83,89.14
M,1.59,68.82
M,1.68,75.88
M,1.76,90.19
M,1.75,81.09
M,1.79,87.78
M,1.74,89.69
M,1.67,83.67
M,1.68,70.39
M,1.69,73.02
M,1.72,85.76
M,1.79,78.46
M,1.75,88.85
M,1.79,97.86
M,1.65,75.61
M,1.89,108.62
M,1.8,83.58
M,1.76,90.71
M,1.77,86.82
M,1.63,76.7
M,1.72,88.33
M,1.71,83.12
M,1.89,95.42
M,1.81,89.83
M,1.7,78.32
M,1.77,89.39
M,1.73,86.41
M,1.72,83.71
M,1.73,81.61
M,1.65,72.35
M,1.78,89.76
M,1.8,98.55
M,1.73,85.23
M,1.66,80.22
M,1.71,83.98
M,1.88,101.29
M,1.8,93.86
M,1.7,77.57
M,1.72,79.48
M,1.71,78.61
M,1.74,82.15
M,1.82,91.9
M,1.76,90.65
M,1.87,101.38
M,1.76,99.45
M,1.79,95.8
M,1.82,91.08
M,1.76,94.71
M,1.65,73.22
M,1.8,94.27
M,1.74,82.02
M,1.74,80.2
M,1.76,88.27
M,1.67,73.94
M,1.74,78.59
M,1.87,97.8
M,1.8,95.31
M,1.69,83.93
M,1.82,85.26
M,1.77,85.35
M,1.69,81.44
M,1.77,96.03
M,1.78,89.67
M,1.75,84.5
M,1.64,75.34
M,1.8,85.64
M,1.63,73.2
M,1.77,87.76
M,1.81,85.85
M,1.73,94.25
M,1.79,90.41
M,1.81,95.19
M,1.76,81.72
M,1.82,89.0
M,1.75,85.92
M,1.68,75.07
M,1.7,82.73
M,1.8,85.98
M,1.75,86.01
M,1.71,77.19
M,1.85,98.02
M,1.79,80.31
M,1.75,88.92
M,1.69,76.06
M,1.75,81.47
M,1.85,100.09
M,1.71,74.52
M,1.64,71.0
M,1.72,83.31
M,1.71,77.25
M,1.68,76.48
M,1.85,95.09
M,1.76,88.6
M,1.8,88.14
M,1.77,99.5
M,1.82,93.06
M,1.71,81.14
M,1.73,82.43
M,1.74,92.33
M,1.75,74.91
M,1.75,89.78
M,1.7,78.6
M,1.75,83.43
M,1.67,63.29
M,1.64,72.66
M,1.68,74.21
M,1.7,87.97
M,1.7,86.13
M,1.8,83.56
M,1.73,86.54
M,1.71,85.36
M,1.92,102.6
M,1.79,89.75
M,1.74,86.41
M,1.73,79.94
M,1.65,80.61
M,1.66,78.78
M,1.76,95.46
M,1.66,77.15
M,1.72,78.68
M,1.75,83.88
M,1.72,88.12
M,1.57,67.65
M,1.7,87.3
M,1.71,81.53
M,1.77,92.01
M,1.65,74.09
M,1.82,98.44
M,1.68,83.08
M,1.67,75.56
M,1.85,93.1
M,1.8,86.04
M,1.81,99.15
M,1.8,92.14
M,1.57,63.46
M,1.74,89.03
M,1.71,81.61
M,1.71,74.45
M,1.67,76.28
M,1.74,86.06
M,1.76,88.52
M,1.69,86.39
M,1.77,92.72
M,1.74,88.97
M,1.81,95.1
M,1.77,86.6
M,1.8,89.78
M,1.72,84.72
M,1.79,85.57
M,1.81,80.0
M,1.85,94.95
M,1.54,61.76
M,1.75,86.6
M,1.76,86.83
M,1.72,83.88
M,1.93,105.37
M,1.83,91.52
M,1.75,85.42
M,1.65,79.22
M,1.67,83.43
M,1.78,85.05
M,1.85,97.0
M,1.74,79.47
M,1.74,76.9
M,1.61,65.58
M,1.7,79.68
M,1.79,89.44
M,1.86,101.11
M,1.67,75.02
M,1.72,77.3
M,1.81,98.26
M,1.7,78.79
M,1.86,98.83
M,1.61,73.03
M,1.75,87.88
M,1.76,80.34
M,1.79,92.9
M,1.75,80.16
M,1.73,87.43
M,1.67,75.73
M,1.76,84.7
M,1.75,85.5
M,1.86,94.51
M,1.67,73.25
M,1.86,97.5
M,1.76,93.04
M,1.69,83.09
M,1.85,94.75
M,1.73,94.31
M,1.82,95.55
M,1.8,92.65
M,1.7,88.54
M,1.73,86.49
M,1.81,90.55
M,1.65,75.67
M,1.69,81.1
M,1.74,84.26
M,1.75,87.88
M,1.81,103.78
M,1.75,87.24
M,1.69,79.82
M,1.74,79.89
M,1.71,80.5
M,1.81,91.51
M,1.74,80.21
M,1.77,84.15
M,1.77,85.29
M,1.83,85.9
M,1.66,75.34
M,1.68,77.22
M,1.77,96.52
M,1.8,88.97
M,1.77,91.75
M,1.81,91.32
M,1.64,71.87
M,1.74,79.14
M,1.73,83.36
M,1.75,85.32
M,1.76,79.92
M,1.76,88.08
M,1.85,88.08
M,1.57,66.17
M,1.74,87.01
M,1.8,95.18
M,1.83,91.29
M,1.83,94.7
M,1.71,82.86
M,1.72,75.49
M,1.79,87.72
M,1.66,80.94
M,1.78,93.41
M,1.82,90.36
M,1.73,87.1
M,1.73,79.49
M,1.67,77.11
M,1.81,93.14
M,1.86,88.92
M,1.8,94.41
M,1.79,92.03
M,1.82,85.54
M,1.6,73.67
M,1.72,82.94
M,1.67,71.35
M,1.73,81.04
M,1.76,84.92
M,1.74,77.84
M,1.78,90.96
M,1.75,87.96
M,1.63,70.53
M,1.78,87.33
M,1.74,72.51
M,1.76,79.95
M,1.75,77.88
M,1.7,82.42
M,1.67,77.74
M,1.74,81.25
M,1.75,85.03
M,1.76,82.55
M,1.84,97.28
M,1.9,94.58
M,1.8,86.28
M,1.88,98.49
M,1.63,70.79
M,1.81,93.61
M,1.7,80.81
M,1.88,103.8
M,1.62,79.14
M,1.74,74.48
M,1.83,96.23
M,1.73,93.44
M,1.65,75.94
M,1.75,88.55
M,1.82,94.88
M,1.71,82.69
M,1.76,86.26
M,1.61,72.73
M,1.54,58.65
M,1.79,88.73
M,1.71,84.71
M,1.89,103.19
M,1.78,89.44
M,1.82,95.05
M,1.88,95.14
M,1.79,99.99
M,1.64,76.75
M,1.73,84.29
M,1.81,87.4
M,1.7,80.29
M,1.79,90.69
M,1.65,76.52
M,1.56,56.03
M,1.58,72.68
M,1.72,89.39
M,1.76,73.47
M,1.84,91.47
M,1.79,88.35
M,1.69,73.73
M,1.81,79.74
M,1.82,94.97
M,1.85,92.74
M,1.74,95.65
M,1.67,76.8
M,1.87,101.3
M,1.75,87.52
M,1.76,78.42
M,1.8,86.89
M,1.61,71.26
M,1.77,82.91
M,1.65,68.89
M,1.77,87.69
M,1.77,84.11
M,1.8,88.62
M,1.79,79.01
M,1.66,74.68
M,1.7,74.32
M,1.67,79.25
M,1.87,96.57
M,1.72,78.37
M,1.66,78.01
M,1.8,88.87
M,1.66,79.29
M,1.66,79.18
M,1.57,63.62
M,1.87,97.77
M,1.83,97.91
M,1.78,83.57
M,1.7,76.29
M,1.67,68.66
M,1.7,84.35
M,1.78,92.19
M,1.9,101.58
M,1.63,67.34
M,1.77,93.98
M,1.82,93.07
M,1.85,94.99
M,1.86,90.34
M,1.68,74.87
M,1.68,81.99
M,1.75,91.76
M,1.73,88.57
M,1.78,83.56
M,1.77,85.48
M,1.66,71.3
M,1.75,89.15
M,1.87,94.51
M,1.67,71.75
M,1.73,83.73
M,1.78,89.77
M,1.83,92.02
M,1.82,90.3
M,1.66,70.86
M,1.62,76.34
M,1.78,91.4
M,1.67,79.19
M,1.77,89.32
M,1.73,89.7
M,1.72,75.13
M,1.9,105.63
M,1.86,87.42
M,1.76,87.17
M,1.63,71.27
M,1.71,74.16
M,1.85,93.05
M,1.69,77.76
M,1.87,94.78
M,1.79,95.14
M,1.81,93.55
M,1.67,80.38
M,1.78,96.03
M,1.56,67.81
M,1.9,99.94
M,1.81,87.28
M,1.7,74.11
M,1.8,90.61
M,1.9,99.14
M,1.85,101.24
M,1.79,98.86
M,1.7,77.65
M,1.7,66.92
M,1.76,77.12
M,1.65,72.95
M,1.73,83.97
M,1.74,80.32
M,1.72,85.67
M,1.75,72.23
M,1.73,85.31
M,1.66,68.47
M,1.76,78.16
M,1.67,75.46
M,1.8,84.52
M,1.67,85.12
M,1.64,74.33
M,1.73,89.33
M,1.76,86.05
M,1.68,85.71
M,1.76,80.44
M,1.74,83.52
M,1.87,100.35
M,1.94,98.83
M,1.8,90.34
M,1.63,74.61
M,1.68,74.05
M,1.75,85.1
M,1.61,68.19
M,1.77,91.94
M,1.74,82.43
M,1.81,93.7
M,1.76,92.52
M,1.87,105.05
M,1.73,88.53
M,1.84,90.85
M,1.79,88.61
M,1.78,85.32
M,1.75,88.29
M,1.75,89.54
M,1.7,70.95
M,1.81,94.24
M,1.74,77.98
M,1.81,98.39
M,1.78,86.44
M,1.79,93.49
M,1.74,91.22
M,1.81,93.71
M,1.65,72.11
M,1.79,94.45
M,1.77,85.19
M,1.62,76.36
M,1.78,89.28
M,1.78,93.22
M,1.71,74.65
M,1.7,75.83
M,1.73,76.65
M,1.76,83.56
M,1.58,76.27
M,1.76,83.51
M,1.69,78.09
M,1.91,99.15
M,1.78,86.02
M,1.8,89.25
M,1.77,82.42
M,1.68,79.55
M,1.79,94.67
M,1.61,73.78
M,1.79,86.78
M,1.71,87.39
M,1.81,96.77
M,1.74,85.0
M,1.81,92.28
M,1.79,86.17
M,1.81,89.49
M,1.79,87.7
M,1.88,102.83
M,1.61,84.0
M,1.73,77.71
M,1.71,79.43
M,1.79,89.0
M,1.7,88.33
M,1.72,83.67
M,1.74,81.44
M,1.74,87.36
M,1.79,89.51
M,1.7,74.47
M,1.65,75.89
M,1.77,84.3
M,1.73,87.99
M,1.8,93.37
M,1.93,106.79
M,1.72,80.27
M,1.77,90.27
M,1.76,91.03
M,1.81,97.06
M,1.8,91.47
M,1.66,65.37
M,1.8,91.9
M,1.72,83.44
M,1.79,90.52
M,1.75,79.85
M,1.81,88.42
M,1.77,92.31
M,1.68,75.6
M,1.78,94.12
M,1.59,69.33
M,1.69,66.33
M,1.65,71.1
M,1.81,95.24
M,1.76,83.41
M,1.77,91.08
M,1.66,74.48
M,1.63,70.14
M,1.74,85.93
M,1.76,80.1
M,1.71,78.59
M,1.73,84.03
M,1.76,92.44
M,1.66,82.57
M,1.85,91.49
M,1.69,80.66
M,1.75,91.91
M,1.67,84.47
M,1.7,84.12
M,1.66,79.76
M,1.85,95.06
M,1.73,81.36
M,1.68,75.01
M,1.83,89.93
M,1.72,83.88
M,1.79,90.83
M,1.8,90.46
M,1.76,91.77
M,1.78,91.62
M,1.76,89.52
M,1.6,71.21
M,1.72,83.16
M,1.85,92.09
M,1.85,87.96
M,1.8,88.72
M,1.83,97.45
M,1.83,83.52
M,1.8,87.88
M,1.68,77.16
M,1.83,93.3
M,1.72,75.41
M,1.81,89.99
M,1.66,76.96
M,1.7,72.59
M,1.83,92.95
M,1.6,67.08
M,1.76,82.07
M,1.78,98.81
M,1.72,85.89
M,1.77,79.87
M,1.57,59.09
M,1.67,72.26
M,1.79,87.07
M,1.76,82.62
M,1.71,85.43
M,1.72,86.98
M,1.69,73.83
M,1.76,89.62
M,1.64,82.82
M,1.87,90.72
M,1.72,83.64
M,1.69,75.06
M,1.75,80.12
M,1.94,103.81
M,1.75,81.8
M,1.86,102.5
M,1.76,86.1
M,1.83,91.74
M,1.79,81.15
M,1.7,75.77
M,1.68,78.3
M,1.74,81.63
M,1.69,72.64
M,1.77,80.91
M,1.68,70.12
M,1.84,94.73
M,1.63,76.85
M,1.77,82.39
M,1.79,92.46
M,1.84,83.66
M,1.73,90.58
M,1.85,93.72
M,1.79,89.17
M,1.77,86.18
M,1.75,89.25
M,1.86,100.83
M,1.73,81.67
M,1.73,80.93
M,1.81,91.96
M,1.86,100.22
M,1.77,90.09
M,1.78,92.41
M,1.68,68.1
M,1.94,103.03
M,1.8,84.71
M,1.69,77.3
M,1.67,82.74
M,1.79,85.03
M,1.65,71.97
M,1.69,79.74
M,1.87,100.14
M,1.77,88.79
M,1.76,85.74
M,1.69,69.91
M,1.75,81.36
M,1.74,78.1
M,1.78,86.39
M,1.82,94.38
M,1.8,87.03
M,1.78,89.53
M,1.72,86.04
M,1.74,94.37
M,1.75,85.6
M,1.71,85.01
M,1.81,98.84
M,1.81,91.55
M,1.8,92.81
M,1.64,65.02
M,1.7,82.56
M,1.83,91.67
M,1.78,87.45
M,1.63,72.08
M,1.89,96.83
M,1.65,73.85
M,1.84,96.24
M,1.66,70.38
M,1.74,88.3
M,1.85,95.01
M,1.77,89.95
M,1.77,81.49
M,1.82,87.4
M,1.69,81.55
M,1.72,86.41
M,1.75,88.96
M,1.75,82.02
M,1.75,84.65
M,1.68,76.1
M,1.68,81.4
M,1.75,82.26
M,1.66,73.22
M,1.59,67.93
M,1.69,73.12
M,1.7,84.98
M,1.77,79.83
M,1.88,108.21
M,1.8,94.81
M,1.79,88.35
M,1.72,74.26
M,1.7,82.78
M,1.69,79.42
M,1.7,82.04
M,1.74,78.31
M,1.82,94.15
M,1.79,88.0
M,1.75,85.21
M,1.69,73.13
M,1.95,103.74
M,1.73,80.04
M,1.69,84.82
M,1.88,99.07
M,1.77,83.74
M,1.79,90.42
M,1.68,74.67
M,1.82,87.73
M,1.67,77.6
M,1.84,98.68
M,1.77,85.3
M,1.75,80.82
M,1.62,68.94
M,1.64,65.85
M,1.65,66.97
M,1.74,83.2
M,1.77,80.89
M,1.59,69.31
M,1.69,78.76
M,1.7,81.66
M,1.83,90.87
M,1.76,77.24
M,1.65,75.63
M,1.88,88.35
M,1.55,69.3
M,1.73,93.63
M,1.62,74.74
M,1.74,82.17
M,1.64,83.91
M,1.76,95.03
M,1.8,89.51
M,1.59,67.4
M,1.79,91.27
M,1.76,90.35
M,1.7,85.48
M,1.71,80.87
M,1.76,78.66
M,1.89,99.08
M,1.69,78.64
M,1.7,84.51
M,1.67,74.92
M,1.7,92.14
M,1.72,73.33
M,1.67,74.6
M,1.67,77.47
M,1.75,77.25
M,1.78,87.31
M,1.68,75.46
M,1.81,89.15
M,1.77,83.28
M,1.74,84.95
M,1.75,80.86
M,1.87,100.87
M,1.75,86.45
M,1.85,92.58
M,1.74,87.18
M,1.64,81.37
M,1.67,87.43
M,1.72,76.99
M,1.82,87.46
M,1.75,84.24
M,1.71,85.54
M,1.77,81.5
M,1.63,73.7
M,1.71,83.18
M,1.85,100.44
M,1.71,85.68
M,1.74,87.01
M,1.79,97.18
M,1.73,82.72
M,1.71,74.36
M,1.87,90.02
M,1.74,85.0
M,1.68,79.8
M,1.77,85.56
M,1.71,91.07
M,1.88,95.22
M,1.83,91.56
M,1.76,82.91
M,1.81,93.51
M,1.7,77.96
M,1.73,77.71
M,1.98,115.98
M,1.74,81.11
M,1.77,84.53
M,1.88,100.17
M,1.83,91.68
M,1.71,87.58
M,1.68,71.34
M,1.65,81.99
M,1.75,93.67
M,1.72,81.65
M,1.73,87.99
M,1.84,92.36
M,1.88,96.04
M,1.86,91.21
M,1.85,96.25
M,1.73,76.16
M,1.77,93.93
M,1.82,84.29
M,1.74,78.4
M,1.78,83.79
M,1.7,82.72
M,1.71,85.41
M,1.72,76.51
M,1.7,78.69
M,1.7,80.76
M,1.67,78.95
M,1.72,87.12
M,1.81,86.71
M,1.78,86.0
M,1.87,95.35
M,1.68,72.29
M,1.73,86.12
M,1.73,79.91
M,1.67,80.41
M,1.69,77.25
M,1.68,75.26
M,1.86,105.34
M,1.75,93.84
M,1.82,90.88
M,1.61,74.05
M,1.83,85.69
M,1.82,94.14
M,1.73,78.67
M,1.75,86.11
M,1.7,77.06
M,1.61,72.93
M,1.82,95.71
M,1.79,87.93
M,1.85,98.58
M,1.73,80.17
M,1.76,92.22
M,1.6,75.09
M,1.82,96.04
M,1.81,91.4
M,1.8,91.03
M,1.78,85.97
M,1.78,93.66
M,1.74,78.6
M,1.81,100.3
M,1.7,77.03
M,1.85,99.69
M,1.8,82.95
M,1.82,89.84
M,1.86,98.25
M,1.77,92.19
M,1.79,84.02
M,1.68,67.25
M,1.78,87.23
M,1.8,93.67
M,1.78,82.45
M,1.81,96.49
M,1.8,88.88
M,1.69,70.36
M,1.84,94.12
M,1.68,82.52
M,1.69,74.44
M,1.69,84.05
M,1.76,80.82
M,1.73,80.92
M,1.67,73.49
M,1.78,98.62
M,1.75,86.09
M,1.8,89.45
M,1.69,80.91
M,1.74,80.76
M,1.8,83.9
M,1.6,69.67
M,1.77,100.65
M,1.72,79.63
M,1.8,90.18
M,1.78,85.85
M,1.67,75.42
M,1.81,91.86
M,1.82,99.91
M,1.81,96.76
M,1.76,77.71
M,1.78,86.89
M,1.83,91.03
M,1.81,94.69
M,1.75,78.37
M,1.8,85.65
M,1.7,85.08
M,1.93,101.8
M,1.72,77.23
M,1.76,89.48
M,1.81,88.61
M,1.78,90.0
M,1.82,89.06
M,1.84,88.61
M,1.85,97.03
M,1.82,91.31
M,1.89,103.17
M,1.71,71.22
M,1.79,87.2
M,1.65,76.86
M,1.77,89.64
M,1.82,97.94
M,1.75,78.6
M,1.65,73.93
M,1.77,94.62
M,1.8,91.64
M,1.85,104.21
M,1.82,91.9
M,1.87,102.97
M,1.66,75.49
M,1.79,84.87
M,1.73,82.12
M,1.7,79.53
M,1.79,89.68
M,1.62,75.5
M,1.7,75.49
M,1.78,84.94
M,1.78,84.39
M,1.79,93.01
M,1.76,85.94
M,1.88,95.32
M,1.69,84.46
M,1.86,93.66
M,1.75,85.82
M,1.71,76.55
M,1.59,65.39
M,1.74,85.08
M,1.76,87.83
M,1.76,84.07
M,1.75,85.38
M,1.69,75.37
M,1.8,91.78
M,1.72,86.88
M,1.69,73.49
M,1.7,79.81
M,1.76,87.71
M,1.83,87.4
M,1.75,84.45
M,1.75,89.81
M,1.66,76.08
M,1.73,90.72
M,1.82,90.71
M,1.87,98.53
M,1.79,88.13
M,1.75,86.41
M,1.86,107.4
M,1.73,82.19
M,1.62,68.78
M,1.72,77.43
M,1.79,89.53
M,1.81,90.84
M,1.7,71.86
M,1.73,84.56
M,1.66,75.59
M,1.79,92.87
M,1.7,79.18
M,1.72,81.0
M,1.73,84.08
M,1.83,88.32
M,1.66,72.39
M,1.66,73.79
M,1.76,81.71
M,1.72,77.98
M,1.82,87.04
M,1.86,99.57
M,1.7,79.97
M,1.83,97.72
M,1.74,88.05
M,1.65,75.8
M,1.68,75.33
M,1.77,98.26
M,1.69,77.69
M,1.85,92.75
M,1.89,95.13
M,1.67,85.07
M,1.69,73.73
M,1.73,83.59
M,1.76,86.8
M,1.65,70.76
M,1.69,82.2
M,1.73,91.56
M,1.75,77.18
M,1.77,87.11
M,1.8,80.98
M,1.8,84.29
M,1.74,81.95
M,1.75,80.71
M,1.69,85.08
M,1.74,89.65
M,1.73,88.5
M,1.68,82.98
M,1.64,71.22
M,1.72,78.25
M,1.64,68.06
M,1.78,92.15
M,1.68,74.53
M,1.83,84.45
M,1.64,71.83
M,1.88,101.52
M,1.81,86.21
M,1.66,71.7
M,1.72,77.55
M,1.64,70.6
M,1.76,86.87
M,1.83,103.86
M,1.69,74.8
M,1.74,80.81
M,1.76,90.49
M,1.84,95.78
M,1.76,92.09
M,1.76,84.07
M,1.67,67.69
M,1.82,97.18
M,1.68,72.74
M,1.68,81.85
M,1.79,89.37
M,1.72,84.46
M,1.67,75.11
M,1.75,91.31
M,1.85,91.32
M,1.72,86.51
M,1.77,87.58
M,1.81,96.75
M,1.81,95.23
M,1.75,82.19
M,1.72,77.4
M,1.82,104.1
M,1.81,90.6
M,1.83,91.35
M,1.53,60.84
M,1.78,86.01
M,1.82,87.59
M,1.79,84.12
M,1.85,93.84
M,1.57,79.41
M,1.75,80.08
M,1.81,94.97
M,1.79,93.3
M,1.65,70.23
M,1.72,89.1
M,1.74,79.91
M,1.79,90.15
M,1.64,68.12
M,1.8,81.29
M,1.74,84.84
M,1.66,64.68
M,1.65,74.22
M,1.77,84.11
M,1.69,76.59
M,1.7,74.96
M,1.74,74.61
M,1.72,84.41
M,1.68,75.07
M,1.78,87.97
M,1.74,87.77
M,1.79,92.73
M,1.9,100.31
M,1.68,78.63
M,1.67,77.69
M,1.69,77.14
M,1.83,92.79
M,1.73,86.36
M,1.76,81.04
M,1.78,86.14
M,1.83,90.52
M,1.75,84.33
M,1.7,75.01
M,1.78,80.5
M,1.83,85.8
M,1.79,93.63
M,1.71,90.57
M,1.86,102.61
M,1.7,79.12
M,1.88,97.65
M,1.75,79.57
M,1.62,76.24
M,1.72,84.15
M,1.72,81.58
M,1.76,86.01
M,1.73,82.67
M,1.74,82.33
M,1.77,88.27
M,1.66,79.11
M,1.68,82.05
M,1.59,74.02
M,1.7,80.61
M,1.77,82.3
M,1.71,80.69
M,1.76,86.65
M,1.77,80.35
M,1.71,72.49
M,1.73,85.34
M,1.79,94.69
M,1.8,87.14
M,1.8,99.91
M,1.73,84.55
M,1.75,89.44
M,1.64,63.59
M,1.74,81.74
M,1.73,79.83
M,1.66,76.12
M,1.72,69.41
M,1.71,73.85
M,1.67,74.22
M,1.71,86.37
M,1.68,86.92
M,1.72,79.47
M,1.75,83.48
M,1.99,103.12
M,1.79,89.98
M,1.78,87.93
M,1.72,80.24
M,1.79,84.07
M,1.72,87.38
M,1.89,94.03
M,1.73,81.26
M,1.92,102.74
M,1.8,84.47
M,1.79,91.96
M,1.93,105.91
M,1.76,87.14
M,1.76,88.44
M,1.76,88.96
M,1.67,71.49
M,1.72,83.85
M,1.73,81.35
M,1.64,71.85
M,1.73,82.75
M,1.84,93.88
M,1.67,73.28
M,1.55,68.18
M,1.73,72.56
M,1.91,101.35
M,1.68,82.76
M,1.68,81.29
M,1.72,81.24
M,1.82,95.58
M,1.75,90.86
M,1.73,84.04
M,1.87,97.54
M,1.74,88.05
M,1.86,93.99
M,1.69,76.7
M,1.76,88.52
M,1.7,83.18
M,1.83,90.75
M,1.72,79.58
M,1.62,69.83
M,1.67,78.24
M,1.87,94.74
M,1.64,73.01
M,1.7,85.71
M,1.8,88.03
M,1.71,76.49
M,1.7,79.39
M,1.64,79.86
M,1.7,76.54
M,1.73,88.24
M,1.87,103.16
M,1.68,80.05
M,1.71,80.4
M,1.67,80.75
M,1.82,95.87
M,1.65,70.63
M,1.72,87.11
M,1.9,97.23
M,1.61,73.97
M,1.65,71.06
M,1.72,74.81
M,1.83,91.58
M,1.76,89.65
M,1.64,80.19
M,1.7,85.28
M,1.69,82.55
M,1.73,79.66
M,1.78,79.86
M,1.79,93.64
M,1.77,89.73
M,1.73,80.33
M,1.7,78.96
M,1.73,79.68
M,1.71,81.77
M,1.88,100.11
M,1.75,82.52
M,1.73,85.11
M,1.75,85.42
M,1.64,74.66
M,1.85,97.99
